number,date_time,temp,RH,site,block,treatment
148,6/15/2017 9:30,76.203,89.979,CBE,1,soy
149,6/15/2017 10:00,76.768,80.249,CBE,1,soy
150,6/15/2017 10:30,77.029,76.323,CBE,1,soy
151,6/15/2017 11:00,78.777,74.556,CBE,1,soy
152,6/15/2017 11:30,83.691,66.703,CBE,1,soy
153,6/15/2017 12:00,80.668,70.334,CBE,1,soy
154,6/15/2017 12:30,84.677,61.435,CBE,1,soy
155,6/15/2017 13:00,86.664,59.922,CBE,1,soy
156,6/15/2017 13:30,87.62,55.449,CBE,1,soy
157,6/15/2017 14:00,84.722,57.81,CBE,1,soy
158,6/15/2017 14:30,89.085,55.597,CBE,1,soy
159,6/15/2017 15:00,87.802,57.591,CBE,1,soy
160,6/15/2017 15:30,89.685,51.529,CBE,1,soy
161,6/15/2017 16:00,87.573,54.456,CBE,1,soy
162,6/15/2017 16:30,83.779,58.234,CBE,1,soy
163,6/15/2017 17:00,85.894,53.654,CBE,1,soy
164,6/15/2017 17:30,85.622,56.178,CBE,1,soy
165,6/15/2017 18:00,85.307,57.953,CBE,1,soy
166,6/15/2017 18:30,86.709,57.659,CBE,1,soy
167,6/15/2017 19:00,88.488,56.441,CBE,1,soy
168,6/15/2017 19:30,88.81,51.658,CBE,1,soy
169,6/15/2017 20:00,85.487,53.111,CBE,1,soy
170,6/15/2017 20:30,82.665,57.701,CBE,1,soy
171,6/15/2017 21:00,74.597,71.874,CBE,1,soy
172,6/15/2017 21:30,71.704,81.411,CBE,1,soy
173,6/15/2017 22:00,67.714,89.635,CBE,1,soy
174,6/15/2017 22:30,66.13,92.902,CBE,1,soy
175,6/15/2017 23:00,66.214,94.344,CBE,1,soy
176,6/15/2017 23:30,65.188,95.929,CBE,1,soy
177,6/16/2017 0:00,63.732,96.446,CBE,1,soy
178,6/16/2017 0:30,63.09,97.284,CBE,1,soy
179,6/16/2017 1:00,62.447,97.24,CBE,1,soy
180,6/16/2017 1:30,62.49,97.505,CBE,1,soy
181,6/16/2017 2:00,62.577,97.801,CBE,1,soy
182,6/16/2017 2:30,61.848,97.718,CBE,1,soy
183,6/16/2017 3:00,62.834,98.738,CBE,1,soy
184,6/16/2017 3:30,66.985,92.41,CBE,1,soy
185,6/16/2017 4:00,64.974,93.534,CBE,1,soy
186,6/16/2017 4:30,63.946,95.331,CBE,1,soy
